Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom
Sri Lanka,120,4.440000057,1.009850144,0.625130832,0.561213255
Armenia,121,4.375999928,0.900596738,0.637524426,0.198303267
India,122,4.315000057,0.792221248,0.455427617,0.469987005
Mauritania,123,4.291999817,0.648457289,0.28534928,0.096098043
Congo (Brazzaville),124,4.290999889,0.808964252,0.289957434,0.435025871
Georgia,125,4.285999775,0.950612664,0.649546981,0.309410036
Congo (Kinshasa),126,4.28000021,0.092102349,0.191407025,0.235961348
Mali,127,4.190000057,0.476180494,0.169365674,0.306613743
Ivory Coast,128,4.179999828,0.603048921,0.04864217,0.447706193
Cambodia,129,4.168000221,0.601765096,0.429783404,0.633375823
Sudan,130,4.138999939,0.659516692,0.290920824,0.014995855
Ghana,131,4.119999886,0.667224824,0.295637727,0.423026294
Ukraine,132,4.096000195,0.894651949,0.575903952,0.122974776
Uganda,133,4.080999851,0.381430715,0.217632607,0.443185955
Burkina Faso,134,4.032000065,0.350227714,0.215844259,0.324367851
Niger,135,4.027999878,0.161925331,0.268505007,0.363658696
Malawi,136,3.970000029,0.233442038,0.315089583,0.466914654
Chad,137,3.936000109,0.438012987,0.041134715,0.162342027
Zimbabwe,138,3.875,0.375846535,0.196763754,0.336384207
Lesotho,139,3.808000088,0.521021247,0,0.390661299
Angola,140,3.795000076,0.85842818,0.049868666,0
Afghanistan,141,3.79399991,0.401477218,0.180746779,0.10617952
Botswana,142,3.766000032,1.122094154,0.341755509,0.505196333
Benin,143,3.657000065,0.431085408,0.209930211,0.425962776
Madagascar,144,3.644000053,0.305808693,0.375223309,0.189196765
Haiti,145,3.602999926,0.368610263,0.27732113,0.030369857
Yemen,146,3.592999935,0.591683447,0.310080916,0.249463722
South Sudan,147,3.59100008,0.397248626,0.163486004,0.147062436
Liberia,148,3.532999992,0.119041793,0.229918197,0.332881182
Guinea,149,3.506999969,0.24454993,0.194129139,0.348587513
Togo,150,3.494999886,0.305444717,0.247105569,0.380426139
Rwanda,151,3.470999956,0.368745893,0.326424807,0.581843853
Syria,152,3.461999893,0.777153134,0.500533342,0.081539445
Tanzania,153,3.348999977,0.511135876,0.364509284,0.390017778
Burundi,154,2.904999971,0.091622569,0.151610792,0.059900753
Central African Republic,155,2.693000078,0,0.018772686,0.270842046
